locus,gene,protein ID,gene length,mass fractions
b0954,fabA,P0A6Q3,519,0.000446335
b2323,fabB,P0A953,1221,0.001145768
b1092,fabD,P0AAI9,930,0.000729097
b1095,fabF,P0AAI5,1242,0.000606555
b1093,fabG,P0AEK2,735,0.000738342
b1091,fabH,P0A6R0,954,0.000367452
b1288,fabI,P0AEK4,789,0.002052629
b3963,fabR,P0ACU5,705,4.30E-05
b0180,fabZ,P0A6Q6,456,0.00035094
b3845,fadA,P21151,1164,5.92E-05
b3846,fadB,P21177,2190,0.000102678
b1805,fadD,P69451,1686,9.14E-05
b0221,fadE,Q47146,2445,0.000118309
b3081,fadH,P42593,2019,0.000104651
b2342,fadI,P76503,1311,1.86E-05
b2341,fadJ,P77399,2145,5.55E-05
b1701,fadK,P38135,1701,0
b2344,fadL,P10384,1347,0.000205832
b0443,fadM,P77712,399,0
b1187,fadR,P0A8V6,720,8.54E-05
b2912,fau,P0AC28,549,0
b2925,fbaA,P0AB71,1080,0.003472071
b2097,fbaB,P0A991,1053,0.000120041
b4232,fbp,P0A993,999,0.000322841
b2052,fcl,P32055,966,0
b3895,fdhD,P32177,834,0
b3891,fdhE,P13024,930,9.78E-05
b4079,fdhF,P07658,2148,0
b1474,fdnG,P24183,3048,0
b1475,fdnH,P0AAJ3,885,0
b1476,fdnI,P0AEK7,654,0
b3894,fdoG,P32176,3051,2.75E-05
b3893,fdoH,P0AAJ5,903,3.44E-05
b3892,fdoI,P0AEL0,636,1.84E-05
b0518,fdrA,Q47208,1668,0
b2525,fdx,P0A9R4,336,0.000130671
b1385,feaB,P80668,1500,0
b1384,feaR,Q47129,906,0
b4291,fecA,P13036,2325,0
b4290,fecB,P15028,903,0
b4289,fecC,P15030,999,0
b4288,fecD,P15029,957,0
b4287,fecE,P15031,768,0
b4293,fecI,P23484,522,0
b4292,fecR,P23485,954,0
b3408,feoA,P0AEL3,228,6.96E-06
b3409,feoB,P33650,2322,8.54E-05
b3410,feoC,P64638,237,0
b0584,fepA,P05825,2241,1.38E-05
b0592,fepB,P0AEL6,957,2.08E-05
b0588,fepC,P23878,816,0
b0590,fepD,P23876,1005,0
b0587,fepE,P26266,1134,0
b0589,fepG,P23877,993,0
b0585,fes,P13039,1203,0
b0490,fetA,P77279,678,2.43E-05
b0491,fetB,P77307,780,1.23E-05
b2610,ffh,P0AGD7,1362,0.000284646
b2731,fhlA,P19323,2079,0
b0150,fhuA,P06971,2244,0.000139155
b0153,fhuB,P06972,1983,0
b0151,fhuC,P07821,798,1.14E-05
b0152,fhuD,P07822,891,0
b1102,fhuE,P16869,2190,0
b4367,fhuF,P39405,789,0
b3361,fic,P20605,603,0
b3915,fieF,P69380,903,0
b4314,fimA,P04128,549,0
b4312,fimB,P0ADH5,603,0
b4316,fimC,P31697,726,0
b4317,fimD,P30130,2637,0
b4313,fimE,P0ADH7,597,0
b4318,fimF,P08189,531,0
b4319,fimG,P08190,504,0
b4320,fimH,P08191,903,0
b4315,fimI,P39264,540,0
b0535,fimZ,P0AEL8,633,0
b3261,fis,P0A6R3,297,0.000724606
b0805,fiu,P75780,2283,1.62E-05
b0041,fixA,P60566,771,0
b0042,fixB,P31574,942,0
b0043,fixC,P68644,1287,0
b0044,fixX,P68646,288,0
b4207,fklB,P0A9L3,621,0.000536823
b3347,fkpA,P45523,813,0.00099096
b0028,fkpB,P0AEM0,450,6.66E-05
b0684,fldA,P61949,531,0.000459527
b2895,fldB,P0ABY4,522,7.11E-05
b1072,flgA,P75933,660,0
b1073,flgB,P0ABW9,417,4.55E-05
b1074,flgC,P0ABX2,405,4.48E-05
b1075,flgD,P75936,696,2.87E-05
b1076,flgE,P75937,1209,0.000314752
b1077,flgF,P75938,756,5.68E-05
b1078,flgG,P0ABX5,783,0.000100806
b1079,flgH,P0A6S0,699,0.000100104
b1080,flgI,P0A6S3,1098,0.000104032
b1081,flgJ,P75942,942,0
b1082,flgK,P33235,1644,0.000223261
b1083,flgL,P29744,954,0.000387312
b1071,flgM,P0AEM4,294,8.60E-05
b1070,flgN,P43533,417,4.87E-05
b1879,flhA,P76298,2079,0.000135609
b1880,flhB,P76299,1149,0
b1891,flhC,P0ABY7,579,0
b1892,flhD,P0A8S9,351,1.70E-05
b1878,flhE,P76297,393,2.38E-05
b1922,fliA,P0AEM6,720,0.000198628
b1923,fliC,P04949,1497,0.01060188
b1924,fliD,P24216,1407,0.000476913
b1937,fliE,P0A8T5,315,1.04E-05
b1938,fliF,P25798,1659,0.000224218
b1939,fliG,P0ABZ1,996,0.00016488
b1940,fliH,P31068,687,2.26E-05
b1941,fliI,P52612,1374,0.000148497
b1942,fliJ,P52613,444,0
b1943,fliK,P52614,1128,3.15E-05
b1944,fliL,P0ABX8,465,0.00013444
b1945,fliM,P06974,1005,0.000202957
b1946,fliN,P15070,414,0.00011334
b1947,fliO,P22586,366,3.97E-06
b1948,fliP,P0AC05,738,2.95E-05
b1949,fliQ,P0AC07,270,0
b1950,fliR,P33135,786,0
b1925,fliS,P26608,411,2.84E-05
b1926,fliT,P0ABY2,366,0
b1921,fliZ,P52627,552,5.87E-05
b2321,flk,P15286,996,2.66E-05
b2000,flu,P39180,3120,6.44E-05
b1566,flxA,P77609,333,4.36E-06
b3288,fmt,P23882,948,0.000117086
b1334,fnr,P0A9E5,753,0.000672231
b0904,focA,P0AC23,858,2.36E-05
b2492,focB,P77733,849,0
b0048,folA,P0ABQ4,480,6.79E-05
b3058,folB,P0AC16,369,0
b2315,folC,P08192,1269,0.000109207
b0529,folD,P24186,867,0.00024274
b2153,folE,P0A6T5,669,0.001092197
b0142,folK,P26281,480,2.03E-05
b1606,folM,P0AFS3,723,1.80E-05
b3177,folP,P0AC13,849,5.48E-05
b2303,folX,P0AC19,363,0.000167273
b3924,fpr,P28861,747,9.06E-05
b2374,frc,P69902,1251,0
b4154,frdA,P00363,1809,5.15E-05
b4153,frdB,P0AC47,735,2.34E-05
b4152,frdC,P0A8Q0,396,0
b4151,frdD,P0A8Q3,360,0
b3844,fre,P0AEN1,702,0.000147639
b3370,frlA,P45539,1338,0
b3371,frlB,P0AC00,1023,0
b4474,frlC,P45541,831,0
b3374,frlD,P45543,786,0
b3375,frlR,P45544,732,3.21E-05
b0356,frmA,P25437,1110,0.000395596
b0355,frmB,P51025,834,4.67E-05
b0357,frmR,P0AAP3,276,2.79E-05
b0172,frr,P0A805,558,0.000793944
b0239,frsA,P04335,1245,6.72E-05
b2167,fruA,P20966,1692,7.81E-05
b2169,fruB,P69811,1131,5.52E-05
b2168,fruK,P0AEW9,939,4.13E-05
b3900,frvA,P32155,447,0
b3899,frvB,P32154,1452,0
b3897,frvR,P32152,1749,0
b3898,frvX,P32153,1071,0
b3950,frwB,P69816,321,0
b3949,frwC,P32672,1080,0
b3953,frwD,P32676,342,0
b2383,fryA,P77439,2496,0
b2387,fryB,P69808,327,0
b2386,fryC,P77579,1248,0
b0825,fsaA,P78055,663,0
b3946,fsaB,P32669,663,1.25E-05
b0479,fsr,P52067,1221,4.50E-05
b1905,ftnA,P0A998,498,0.000621407
b1902,ftnB,P0A9A2,504,2.60E-05
b2214,ftp,P0AB85,1056,0
b0094,ftsA,P0ABH0,1263,0.000193675
b2748,ftsB,P0A6S5,312,1.23E-05
b3463,ftsE,P0A9R7,669,6.01E-05
b3178,ftsH,P0AAI3,1935,0.000596382
b0084,ftsI,P0AD68,1767,6.79E-05
b0890,ftsK,P46889,3990,0.000260703
b0083,ftsL,P0AEN4,366,1.32E-05
b3933,ftsN,P29131,960,6.76E-05
b3017,ftsP,P26648,1413,8.58E-05
b0093,ftsQ,P06136,831,3.27E-05
b0089,ftsW,P0ABG4,1245,0
b3462,ftsX,P0AC30,1059,7.69E-05
b3464,ftsY,P10121,1494,0.000189964
b0095,ftsZ,P0A9A6,1152,0.001001415
b2800,fucA,P0AB87,648,0
b2802,fucI,P69922,1776,0
b2803,fucK,P11553,1449,0
b2799,fucO,P0A9S1,1149,0
b2801,fucP,P11551,1317,0
b2805,fucR,P0ACK8,732,0
b2804,fucU,P0AEN8,423,6.64E-05
b1612,fumA,P0AC33,1647,0.001474206
b4122,fumB,P14407,1647,1.43E-05
b1611,fumC,P05042,1404,0.000139423
b0683,fur,P0A9A9,447,0.000359579
b3340,fusA,P0A6M8,2115,0.01113483
b4140,fxsA,P37147,477,2.13E-05
b2661,gabD,P25526,1449,7.89E-05
b2663,gabP,P25527,1401,0
b2662,gabT,P22256,1281,5.15E-05
b3517,gadA,P69908,1401,0
b1493,gadB,P69910,1401,0
b1492,gadC,P63235,1536,0
b3512,gadE,P63204,528,0
b3515,gadW,P63201,729,0
b3516,gadX,P37639,825,0
b0759,galE,P09147,1017,0.00021535
b2042,galF,P0AAB6,894,0.000103288
b0757,galK,P0A6T3,1149,0.000109513
b0756,galM,P0A9C3,1041,0.000311208
b2943,galP,P0AEP1,1395,0
b2837,galR,P03024,1032,0
b2151,galS,P25748,1041,4.34E-05
b0758,galT,P09148,1047,7.23E-05
b1236,galU,P0AEP3,909,0.000551783
b1779,gapA,P0A9B2,996,0.01391062
b1417,gapC_1,P33898,753,0
b1416,gapC_2,,252,0
b3128,garD,P39829,1572,0
b3124,garK,P23524,1227,0
b3126,garL,P23522,771,0
b3127,garP,P0AA80,1335,0
b3125,garR,P0ABQ2,891,1.07E-05
b2094,gatA,P69828,453,0
b2093,gatB,P37188,285,0
b2092,gatC,P69831,1356,0
b2091,gatD,P0A9S3,1041,0
b2087,gatR_1,P36930,447,1.10E-05
b2090,gatR_2,,339,0
b2096,gatY,P0C8J6,855,0
b2095,gatZ,P0C8J8,1263,0
b0124,gcd,P15877,2391,0.000127003
b0507,gcl,P0AEP7,1782,0
b2808,gcvA,P0A9F6,918,2.87E-05
b2904,gcvH,P0A6T9,390,0.000381967
b2903,gcvP,P33195,2874,0.000694224
b2479,gcvR,P0A9I3,573,8.46E-05
b2905,gcvT,P27248,1095,0.000311743
b1761,gdhA,P00370,1344,0.002396959
b0987,gfcA,P75885,306,0
b0986,gfcB,P75884,645,0
b0985,gfcC,P75883,747,0
b0984,gfcD,P75882,2097,0
b0983,gfcE,P0A932,1140,1.66E-05
b3447,ggt,P18956,1743,0
b4128,ghoS,P0AF61,297,0
b4559,ghoT,P64646,174,0
b1033,ghrA,P75913,939,0.000226132
b3553,ghrB,P37666,975,0.000420834
b4064,ghxP,P0AF52,1350,0.000252355
b4464,ghxQ,Q46817,1368,4.27E-06
b2975,glcA,Q46839,1683,0
b2976,glcB,P37330,2172,0.000144582
b2980,glcC,P0ACL5,765,2.86E-05
b2979,glcD,P0AEP9,1500,0
b4468,glcE,P52073,1053,0
b4467,glcF,P52074,1224,0
b2977,glcG,P0AEQ1,405,1.81E-05
b3945,gldA,P0A9S5,1104,2.11E-05
b2036,glf,P37747,1104,0
b3429,glgA,P0A6U8,1434,0.000165965
b3432,glgB,P07762,2187,0.000273282
b3430,glgC,P0A6V1,1296,0.000204099
b3428,glgP,P0AC86,2448,0.000231376
b3049,glgS,P26649,201,0
b3431,glgX,P15067,1974,9.36E-05
b2388,glk,P0A6V8,966,0.000151766
b3176,glmM,P31120,1338,0.00034855
b3729,glmS,P17169,1830,0.001061151
b3730,glmU,P0ACC7,1371,0.000315832
b3870,glnA,P0A9C5,1410,0.004438322
b2553,glnB,P0A9Z1,339,0.000171391
b0167,glnD,P27249,2673,7.83E-05
b3053,glnE,P30870,2841,0.000135438
b3868,glnG,P0AFB8,1410,9.47E-05
b0811,glnH,P0AEQ3,747,0.000620436
b0450,glnK,P0AC55,339,0
b3869,glnL,P0AFB5,1050,2.26E-05
b0810,glnP,P0AEQ6,660,6.32E-05
b0809,glnQ,P10346,723,0.000141891
b0680,glnS,P00962,1665,0.000723738
b1651,gloA,P0AC81,408,0.000292284
b0212,gloB,P0AC84,756,4.91E-05
b0927,gloC,P75849,648,0.00011402
b2241,glpA,P0A9C0,1629,0
b2242,glpB,P13033,1260,0
b2243,glpC,P0A996,1191,0
b3426,glpD,P13035,1506,0.000282005
b3425,glpE,P0A6V5,327,0
b3927,glpF,P0AER0,846,0
b3424,glpG,P09391,831,3.00E-05
b3926,glpK,P0A6F3,1509,5.29E-05
b2239,glpQ,P09394,1077,0
b3423,glpR,P0ACL0,759,2.52E-05
b2240,glpT,P08194,1359,0
b3925,glpX,P0A9C9,1011,4.84E-05
b2556,glrK,P52101,1428,0
b2554,glrR,P0AFU4,1335,2.55E-05
b0720,gltA,P0ABH7,1284,0.005466794
b3212,gltB,P09831,4554,0.00494336
b3213,gltD,P09832,1419,0.001536175
b3214,gltF,P28721,765,0
b0655,gltI,P37902,909,0.00178303
b0654,gltJ,P0AER3,741,4.48E-05
b0653,gltK,P0AER5,675,5.88E-05
b0652,gltL,P0AAG3,726,0.000230822
b4077,gltP,P21345,1314,0
b3653,gltS,P0AER8,1206,0
b2400,gltX,P04805,1416,0.00082007
b0144,gluQ,P27305,927,1.38E-05
b3682,glvB,P69789,486,0
b3683,glvC,P31452,1107,0
b3681,glvG,P31450,639,0
b0514,glxK,P77364,1146,0
b0509,glxR,P77161,879,0
b2551,glyA,P0A825,1254,0.005332091
b3560,glyQ,P00960,912,0.00043007
b3559,glyS,P00961,2070,0.001042798
b2053,gmd,P0AC88,1122,0
b0200,gmhB,P63228,576,7.18E-05
b3648,gmk,P60546,624,7.85E-05
b2051,gmm,P32056,480,0
b2029,gnd,P00350,1407,0.001603376
b4517,gnsA,P0AC92,174,5.41E-05
b1550,gnsB,P77695,174,0.000147383
b3437,gntK,P46859,528,3.98E-05
b4321,gntP,P0AC94,1344,0
b3438,gntR,P0ACP5,996,4.36E-05
b3415,gntT,P39835,1317,3.94E-05
b4476,gntU,P0AC96,1341,0
b3413,gntX,P46846,684,0
b3500,gor,P06715,1353,0.000316295
b3385,gph,P32662,759,9.42E-05
b0755,gpmA,P62707,753,0.001953427
b3612,gpmM,P37689,1545,0.000790581
b3779,gpp,P25552,1485,6.26E-05
b3608,gpsA,P0A6S7,1020,0.000103969
b0238,gpt,P0A9M5,459,0.00029178
b2579,grcA,P68066,384,0.000199617
b3181,greA,P0A6W5,477,0.00022731
b3406,greB,P30128,477,2.20E-05
b4143,groL,P0A6F5,1647,0.004917675
b4142,groS,P0A6F9,294,0.001085218
b2614,grpE,P09372,594,0.000781204
b0849,grxA,P68688,258,2.18E-05
b1064,grxB,P0AC59,648,0.000265525
b3610,grxC,P0AC62,252,0.000162574
b1654,grxD,P0AC69,348,0.000699499
b2688,gshA,P0A6W9,1557,0.00021853
b2947,gshB,P04425,951,0.000296707
b0829,gsiA,P75796,1839,0.000119651
b0830,gsiB,P75797,1539,0.000218314
b0831,gsiC,P75798,921,2.48E-05
b0832,gsiD,P75799,912,0
b0477,gsk,P0AEW6,1305,0.00013584
b3323,gspA,P45756,1470,0
b3322,gspB,P03825,420,0
b3324,gspC,P45757,816,0
b3325,gspD,P45758,1953,0
b3326,gspE,P45759,1482,0
b3327,gspF,P41441,1197,0
b3328,gspG,P41442,438,0
b3329,gspH,P41443,510,0
b3330,gspI,P45760,378,0
b3331,gspJ,P45761,588,0
b3332,gspK,P45762,984,0
b3333,gspL,P45763,1164,0
b3334,gspM,P36678,462,0
b3335,gspO,P25960,678,0
b2988,gss,P0AES0,1860,0.000147314
b1635,gstA,P0A9D2,606,0.000159855
b0838,gstB,P0ACA7,627,0.000250244
b2507,guaA,P04079,1578,0.001141397
b2508,guaB,P0ADG7,1467,0.001380625
b0104,guaC,P60560,1044,0.000486654
b2883,guaD,P76641,1320,0
b2787,gudD,P0AES2,1341,1.54E-05
b2789,gudP,Q46916,1353,0
b2788,gudX,Q46915,1341,0
b2706,gutM,P15081,360,0
b2708,gutQ,P17115,966,4.37E-05
b2231,gyrA,P0AES4,2628,0.00091705
b3699,gyrB,P0AES6,2415,0.000811627
b2541,hcaB,P0CI31,813,0
b2540,hcaC,P0ABW0,321,0
b2542,hcaD,P77650,1203,0
b2538,hcaE,P0ABR5,1362,0
b2539,hcaF,Q47140,519,0
b2537,hcaR,Q47141,891,0
b2536,hcaT,Q47142,1140,0
b1967,hchA,P31658,852,0.000100549
b0873,hcp,P75825,1653,0
b0872,hcr,P75824,969,0
b2496,hda,P69931,702,1.47E-05
b3510,hdeA,P0AES9,333,0
b3509,hdeB,P0AET2,327,0
b3511,hdeD,P0AET5,573,0
b4480,hdfR,P0A8R9,840,4.86E-05
b1619,hdhA,P0AET8,768,9.03E-05
b0962,helD,P15038,2055,7.08E-05
b1210,hemA,P0A6X1,1257,0
b0369,hemB,P0ACB2,975,0.000250629
b3805,hemC,P06983,942,0.000104136
b3804,hemD,P09126,741,3.32E-05
b3997,hemE,P29680,1065,0.000193174
b2436,hemF,P36553,900,0
b3850,hemG,P0ACB4,546,5.06E-05
b0475,hemH,P23871,963,3.79E-05
b0154,hemL,P23893,1281,0.000438988
b3867,hemN,P32131,1374,0.000140284
b3803,hemX,P09127,1182,0.000199015
b3802,hemY,P0ACB7,1197,0.000115864
b4175,hflC,P0ABC3,1005,0.000250846
b1132,hflD,P25746,642,4.60E-05
b4174,hflK,P0ABC7,1260,0.000367935
b4173,hflX,P25519,1281,0.000134622
b4172,hfq,P0A6X3,309,0.000613796
b0460,hha,P0ACE3,219,8.73E-05
b4532,hicA,P76106,177,0
b1438,hicB,P67697,438,0
b3082,higA,P67701,417,0
b3083,higB,P64578,315,0
b1103,hinT,P0ACE7,360,0.000198341
b1507,hipA,P23874,1323,0
b1508,hipB,P23873,267,0
b2024,hisA,P10371,738,0.000170219
b2022,hisB,P06987,1068,0.000491017
b2021,hisC,P06986,1071,0.000414637
b2020,hisD,P06988,1305,0.000417011
b2025,hisF,P60664,777,0.000220749
b2019,hisG,P60757,900,0.000599233
b2023,hisH,P60595,591,0.000193349
b2026,hisI,P06989,612,0.000321198
b2309,hisJ,P0AEU0,783,0.002518972
b2018,hisL,P60995,51,0
b2307,hisM,P0AEU3,717,5.96E-05
b2306,hisP,P07109,774,0.000139999
b2308,hisQ,P52094,687,7.32E-05
b2514,hisS,P60906,1275,0.00050382
b1182,hlyE,P77335,912,0
b2552,hmp,P24232,1191,9.94E-05
b1237,hns,P0ACF8,414,0.004201906
b0107,hofB,P36645,1386,0
b0106,hofC,P36646,1203,0
b3395,hofM,P45753,780,0
b3394,hofN,P64634,540,0
b3393,hofO,P45751,441,0
b3392,hofP,P45750,405,0
b3391,hofQ,P34749,1239,0
b4455,hokA,P37305,153,0
b4428,hokB,P77494,150,0
b4412,hokC,P0ACG4,153,0
b1562,hokD,P0ACG6,156,0
b4415,hokE,P77091,153,0
b0640,holA,P28630,1032,0
b1099,holB,P28631,1005,1.77E-05
b4259,holC,P28905,444,0
b4372,holD,P28632,414,0
b1842,holE,P0ABS8,231,7.40E-05
b3203,hpf,P0AFX0,288,0.000135534
b0125,hpt,P0A9M2,537,0.000176794
b1413,hrpA,P43329,3846,0.000190595
b0148,hrpB,P37024,2430,7.54E-06
b2526,hscA,P0A6Z1,1851,0.000331154
b2527,hscB,P0A6L9,516,5.78E-05
b0650,hscC,P77319,1671,0
b4349,hsdM,P08957,1590,0.000227678
b4350,hsdR,P08956,3567,0.000199122
b4348,hsdS,P05719,1395,7.45E-05
b1379,hslJ,P52644,423,2.30E-05
b3401,hslO,P0A6Y5,879,0.0002484
b3400,hslR,P0ACG8,402,2.35E-05
b3931,hslU,P0A6H5,1332,0.00064224
b3932,hslV,P0A7B8,531,0.000180459
b0966,hspQ,P0AB20,318,2.46E-05
b3754,hsrA,P31474,1428,0
b0012,htgA,P28697,486,0
b0473,htpG,P0A6Z3,1875,0.00144671
b1829,htpX,P23894,882,0.000224084
b0139,htrE,P33129,2598,0
b3618,htrL,P25666,858,0
b4000,hupA,P0ACF0,273,0.002592017
b0440,hupB,P0ACF4,273,0.002212991
b0972,hyaA,P69739,1119,0
b0973,hyaB,P0ACD8,1794,0
b0974,hyaC,P0AAM1,708,0
b0975,hyaD,P19930,588,0
b0976,hyaE,P19931,399,0
b0977,hyaF,P19932,858,0
b2996,hybA,P0AAJ8,987,0
b2995,hybB,P37180,1179,0
b2994,hybC,P0ACE0,1704,1.98E-05
b2993,hybD,P37182,495,3.15E-06
b2992,hybE,P0AAN1,489,0
b2991,hybF,P0A703,342,0
b2990,hybG,P0AAM7,249,0
b2997,hybO,P69741,1119,0
b2725,hycA,P0AEV4,462,0
b2724,hycB,P0AAK1,612,0
b2723,hycC,P16429,1827,0
b2722,hycD,P16430,924,0
b2721,hycE,P16431,1710,0
b2720,hycF,P16432,543,0
b2719,hycG,P16433,768,0
b2718,hycH,P0AEV7,411,0
b2717,hycI,P0AEV9,471,8.28E-06
b2713,hydN,P0AAK4,528,0
b2481,hyfA,P23481,618,5.99E-05
b2482,hyfB,P23482,2019,0
b2483,hyfC,P77858,948,0
b2484,hyfD,P77416,1440,0
b2485,hyfE,P0AEW1,651,0
b2486,hyfF,P77437,1581,0
b2487,hyfG,P77329,1668,0
b2488,hyfH,P77423,546,0
b2489,hyfI,P77668,759,0
b2490,hyfJ,P77453,414,0
b2491,hyfR,P71229,2013,0.000374808
b0508,hyi,P30147,777,0
b2726,hypA,P0A700,351,0
b2727,hypB,P0AAN3,873,9.33E-06
b2728,hypC,P0AAM3,273,0
b2729,hypD,P24192,1122,0
b2730,hypE,P24193,969,1.04E-05
b2712,hypF,P30131,2253,0
b4327,hypT,P39376,912,0
b2873,hyuA,Q46806,1386,0
b0828,iaaA,P37595,966,6.45E-05
b4328,iadA,P39377,1173,0.000104595
b2753,iap,P10423,1038,0
b3190,ibaG,P0A9W6,255,0.00011527
b3687,ibpA,P0C054,414,6.92E-05
b3686,ibpB,P0C058,429,0
b1136,icd,P08200,1251,0.01487718
b4519,icdC,,153,0
b4018,iclR,P16528,825,7.22E-05
b2889,idi,Q46822,549,0
b4267,idnD,P39346,1032,0
b4268,idnK,P39208,564,0
b4266,idnO,P0A9P9,765,1.58E-05
b4264,idnR,P39343,999,0
b4265,idnT,P39344,1320,0
b1712,ihfA,P0A6X7,300,0.000289806
b0912,ihfB,P0A6Y1,285,0.000614869
b0026,ileS,P00956,2817,0.00160507
b3772,ilvA,P04968,1545,0.00077701
b3671,ilvB,P08142,1689,0.000914809
b3774,ilvC,P05793,1476,0.005836098
b3771,ilvD,P05791,1851,0.001896519
b3770,ilvE,P0AB80,930,0.003174255
b3767,ilvG_1,P00892,984,0.00068582
b3768,ilvG_2,,582,0.000283543
b0078,ilvH,P00894,492,0.000135574
b0077,ilvI,P00893,1725,0.000395637
b3766,ilvL,P62522,99,0
b3769,ilvM,P0ADG1,264,0.000170242
b3670,ilvN,P0ADF8,291,0.000151603
b4669,ilvX,C1P619,51,0
b3773,ilvY,P05827,894,0
b2237,inaA,P27294,651,0
b0884,infA,P69222,219,0.000351345
b3168,infB,P0A705,2673,0.002224045
b1718,infC,P0A707,543,0.000925868
b0022,insA-1,,276,0
b0265,insA-2,,276,0
b0275,insA-3,,276,0
b4516,insA-4,,276,0
b1894,insA-5,,276,0
b3444,insA-6,,276,0
b4294,insA-7,,276,0
b0021,insB-1,,504,0
b0264,insB-2,,504,0
b0988,insB-4,,504,0
b0360,insC-1,,411,0
b1403,insC-2,,411,0
b1997,insC-3,,411,0
b2861,insC-4,,411,0
b3044,insC-5,,411,0
b4272,insC-6,,411,0
b1578,insD,,657,0
b0361,insD-1,,906,0
b0298,insE-1,,309,0
b0373,insE-2,,309,0
b0540,insE-3,,309,0
b1027,insE-4,,309,0
b2088,insE-5,,309,0
b0299,insF-1,,867,0
b4278,insG,P03835,1329,0
b0259,insH-1,,1017,0
b3218,insH-10,,1017,0
b3505,insH-11,,1017,0
b0552,insH-2,,1017,0
b0656,insH-3,,1017,0
b1331,insH-4,,1017,0
b1370,insH-5,,981,0
b1994,insH-6,,1017,0
b2030,insH-7,,1017,0
b2192,insH-8,,1017,0
b2982,insH-9,,1017,0
b0256,insI-1,,1152,0
b1404,insI-2,,1152,0
b4284,insI-3,,1152,0
b3557,insJ,P19768,522,0
b3558,insK,P19769,896,0
b0016,insL-1,,1113,0
b0582,insL-2,,1113,0
b2394,insL-3,,1113,0
b0255,insN-1,,405,0
b4283,insN-2,,267,0
b0257,insO-1,,426,0
b4285,insO-2,,597,0
b2622,intA,P32053,1242,0
b4271,intB,P39347,1191,0
b0537,intD,P24218,1164,0
b1140,intE,P75969,1128,0
b0281,intF,P71298,1401,1.10E-05
b1936,intG,P76323,279,0
b1579,intQ,P76168,1197,0
b1345,intR,P76056,1236,0
b2349,intS,P37326,1158,0
b2442,intZ,P76542,1296,0
b4326,iraD,P39375,393,0
b1160,iraM,P75987,324,0
b0382,iraP,P0AAN9,261,4.14E-05
b4706,iroK,U3PVA8,66,0
b2528,iscA,P0AAC8,324,0.000194339
b2531,iscR,P0AGK8,489,0.000494887
b2530,iscS,P0A6B7,1215,0.001987238
b2529,iscU,P0ACD4,387,0.000844138
b2524,iscX,P0C0L9,201,0
b0421,ispA,P22939,900,5.39E-05
b3187,ispB,P0AD57,972,0.000137809
b2747,ispD,Q46893,711,2.82E-05
b1208,ispE,P62615,852,4.77E-05
b2746,ispF,P62617,480,5.64E-05
b2515,ispG,P62620,1119,0.000228143
b0029,ispH,P62623,951,0.000122604
b0174,ispU,P60472,762,8.41E-05
b3672,ivbL,P03061,99,0
b0220,ivy,P0AD59,474,9.62E-05
b1732,katE,P21179,2262,0.000166694
b3942,katG,P13029,2181,0.000946463
b3137,kbaY,P0AB74,861,0
b3132,kbaZ,P0C8K0,1281,0
b3617,kbl,P0AB77,1197,3.27E-05
b1250,kch,P31069,1254,3.25E-05
b3526,kdgK,P37647,930,8.80E-05
b1827,kdgR,P76268,792,0.000158569
b3909,kdgT,P0A712,984,0
b0698,kdpA,P03959,1674,0.001173183
b0697,kdpB,P03960,2049,0.000978146
b0696,kdpC,P03961,573,8.05E-05
b0695,kdpD,P21865,2685,7.52E-05
b0694,kdpE,P21866,678,1.91E-05
b4513,kdpF,P36937,90,0
b1215,kdsA,P0A715,855,0.000494652
b0918,kdsB,P04951,747,0.000173265
b3198,kdsC,P0ABZ4,567,6.73E-05
b3197,kdsD,P45395,987,0.000112591
b2842,kduD,P37769,762,0
b2843,kduI,Q46938,837,0
b3350,kefB,P45522,1806,0
b0047,kefC,P03819,1863,0
b0046,kefF,P0A754,531,0
b3351,kefG,P0A756,555,6.13E-06
b2587,kgtP,P0AEX3,1299,5.43E-05
b1352,kilR,P38393,222,0
b4331,kptA,P39380,555,0
b3747,kup,P63183,1869,3.88E-05
b0342,lacA,P07464,612,0
b0345,lacI,P03023,1083,4.13E-05
b0343,lacY,P02920,1254,0
b0344,lacZ,P00722,3075,0
b0230,lafU,Q47154,756,0
b4036,lamB,P02943,1341,0
b1279,lapA,P0ACV4,309,3.30E-05
b1280,lapB,P0AB58,1170,3.21E-05
b1192,ldcA,P76008,915,4.29E-05
b0186,ldcC,P52095,2142,0
b1380,ldhA,P52643,990,0.000229984
b4419,ldrA,Q6BF86,108,0
b4421,ldrB,Q6BF87,108,0
b4423,ldrC,Q6BF86,108,0
b4453,ldrD,Q6BF25,108,0
b1990,ldtA,P39176,933,3.55E-05
b0819,ldtB,P0AAX8,921,0.000330794
b1113,ldtC,P75954,963,3.87E-05
b0925,ldtD,P22525,1848,2.81E-05
b1678,ldtE,P76193,1005,4.36E-05
b2569,lepA,P60785,1800,0.000491098
b2568,lepB,P00803,975,0.000103363
b0074,leuA,P09151,1572,0.001028972
b0073,leuB,P30125,1092,0.001189422
b0072,leuC,P0A6A6,1401,0.001935787
b0071,leuD,P30126,606,0.00099086
b1798,leuE,P76249,639,0
b0075,leuL,P0AD79,87,0
b0076,leuO,P10151,945,0
b0642,leuS,P07813,2583,0.001337346
b4043,lexA,P0A7C2,609,0.000106645
